year,site_id,species_id,genus_name,biomass_c,biomass_n,basal_area,n_trees
0,1,1,Quercus,0.0,0.0,0.0,0
0,1,2,Pinus,0.0,0.0,0.0,0
10,1,1,Quercus,0.0,0.0,0.0,0
10,1,2,Pinus,0.0,0.0,0.0,0
20,1,1,Quercus,0.0,0.0,0.0,0
20,1,2,Pinus,0.0,0.0,0.0,0
30,1,1,Quercus,0.0,0.0,0.0,0
30,1,2,Pinus,0.0,0.0,0.0,0
40,1,1,Quercus,0.0,0.0,0.0,0
40,1,2,Pinus,0.0,0.0,0.0,0
50,1,1,Quercus,0.0,0.0,0.0,0
50,1,2,Pinus,0.0,0.0,0.0,0
60,1,1,Quercus,0.0,0.0,0.0,0
60,1,2,Pinus,0.0,0.0,0.0,0
70,1,1,Quercus,0.0,0.0,0.0,0
70,1,2,Pinus,0.0,0.0,0.0,0
80,1,1,Quercus,0.0,0.0,0.0,0
80,1,2,Pinus,0.0,0.0,0.0,0
90,1,1,Quercus,0.0,0.0,0.0,0
90,1,2,Pinus,0.0,0.0,0.0,0
100,1,1,Quercus,0.0,0.0,0.0,0
100,1,2,Pinus,0.0,0.0,0.0,0
