year,site_id,A0_c0,A_c0,A0_n0,A_n0,BL_c0,BL_n0,total_C_rsp,avail_N
0,1,11.321661273226375,50.0377740167051,1.0330747885467406,5.001206346371812,100.00001085943563,10.0,0.0,0.00012672159135966775
1,1,11.267130257531361,50.075494822594386,1.0317434385424795,5.0024109009855025,100.00002179848225,10.0,0.0,0.0001267953905712211
2,1,11.21272098970435,50.11316248644282,1.0304138042831514,5.003613666204033,100.0000328170276,10.0,0.0,0.00012686904079761281
3,1,11.158433246512002,50.15077707693671,1.0290858835576318,5.004814644387096,100.00004391495959,10.0,0.0,0.00012694254245611958
4,1,11.10426680509415,50.18833866267386,1.0277596741576456,5.00601383789112,100.00005509216626,10.0,0.0,0.00012701589596215873
5,1,11.05022144296321,50.22584731216363,1.0264351738777635,5.007211249069273,100.00006634853581,10.0,0.0,0.00012708910172929986
6,1,10.996296938003585,50.26330309382711,1.0251123805153988,5.008406880271468,100.00007768395656,10.0,0.0,0.0001271621601692765
7,1,10.942493068471082,50.3007060759972,1.023791291870803,5.009600733844372,100.00008909831698,10.0,0.0,0.00012723507169199746
8,1,10.888809612992322,50.338056326918704,1.0224719057470626,5.010792812131407,100.0001005915057,10.0,0.0,0.00012730783670555814
9,1,10.835246350564155,50.375353914748494,1.0211542199500951,5.0119831174727585,100.00011216341147,10.0,0.0,0.00012738045561625213
10,1,10.781803060553065,50.4125989075556,1.019838232288646,5.013171652205379,100.00012381392322,10.0,0.0,0.00012745292882858182
11,1,10.728479522694593,50.4497913733213,1.018523940574284,5.0143584186629955,100.00013554292998,10.0,0.0,0.0001275252567452701
12,1,10.67527551709275,50.486931379939264,1.0172113426213991,5.0155434191761135,100.00014735032096,10.0,0.0,0.00012759743976727098
13,1,10.62219082421943,50.52401899521566,1.015900436247197,5.016726656072022,100.00015923598549,10.0,0.0,0.0001276694782937807
14,1,10.569225224913831,50.56105428686927,1.014591219271697,5.017908131674799,100.00017119981305,10.0,0.0,0.00012774137272224855
15,1,10.516378500381869,50.59803732253159,1.0132836895177275,5.01908784830532,100.00018324169326,10.0,0.0,0.00012781312344838753
16,1,10.4636504321956,50.634968169746934,1.011977844810923,5.020265808281258,100.0001953615159,10.0,0.0,0.00012788473086618524
17,1,10.411040802292638,50.67184689597257,1.0106736829797196,5.021442013917094,100.00020755917086,10.0,0.0,0.00012795619536791426
18,1,10.358549392975574,50.70867356857883,1.0093712018553525,5.0226164675241165,100.0002198345482,10.0,0.0,0.00012802751734414274
19,1,10.306175986911407,50.74544825484922,1.0080703992718516,5.023789171410433,100.00023218753812,10.0,0.0,0.00012809869718374495
20,1,10.253920367130952,50.78217102198052,1.0067712730660383,5.024960127880973,100.00024461803095,10.0,0.0,0.0001281697352739115
